,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
382,2021,"Lone, S.","Lone, Sa; Hameed, A; Shiekh, Fa",Clinical Case Reports,,Web of Science,10.1002/ccr3.3846,,Foreign Body Esophagus In A Young Infant,"Unattended Children, Mostly From Low-Socioeconomic Contexts, Who Present With Sudden Onset Obstructive Respiratory And/Or Gastrointestinal Symptoms, Should Be At High Suspicion For Foreign Body Ingestion. Prompt Diagnosis Helps Avoid Mismanagement And Can Potentially Avoid Dire Outcomes.",,,
383,2021,"Altokhais, T.","Altokhais, Tariq",Frontiers In Pediatrics,,PubMed,10.3389/fped.2021.727988,,Magnet Ingestion In Children Management Guidelines And Prevention,"Purpose: Foreign Body Ingestion Is Common In Children, And Most Foreign Bodies Pass Spontaneously Without Causing Serious Injuries. Ingestion Of Multiple  High-Power Magnet Pieces Is Unique And Increases The Risk Of Morbidity And  Mortality. The Longer The Duration Of Ingestion, The Increased Likelihood Of  Complications. Various Management Options Have Been Reported, And There Is No  Consensus On The Ideal Management Which Necessitates The Need For A Practical  Algorithm. The Incidence Of Magnet Ingestion Has Been Increasing And Directly  Related To The Laws And Recalls. The Aim Of This Review Is To Provide An Easy And  Practical Pathway For Management And To Highlight The Preventive Rules Of The  Legislations And Recalls. Methods: Pubmed/Medline, The Cochrane Database Of  Systematic Reviews, And The List Of References From All Identified Complete  Publications Were Searched For All Publications In English-Language For Pediatric  Magnet Ingestion. Conclusion: Practical And Time-Saving Management Pathways Are  Recommended To Minimize The Risk Of Complications. Preventive Rules And Recalls  Are Important For Eliminating The Availability Of These Hazardous Magnets. Public  Awareness About The Unique Risks Posed By These Magnets If Ingested Is Important.",,,
384,2021,"Berry, P.","Berry, P; Kotha, S",Frontline Gastroenterology,,Web of Science,10.1136/flgastro-2021-101888,,Crying Wolf: The Danger Of Recurrent Intentional Foreign Body Ingestion,,,,
385,2021,"Buonsenso, D.","Buonsenso, Danilo; Chiaretti, Antonio; Curatola, Antonietta; Morello, Rosa; Giacalone, Martina; Parri, Niccolò",Journal Of Ultrasound,,PubMed,10.1007/s40477-020-00452-z,,Pediatrician Performed Point-Of-Care Ultrasound For The Detection Of Ingested Foreign Bodies: Case Series And Review Of The Literature,"Purpose: Foreign Body (Fb) Ingestions Represent A Common Problem In Children. History And Physical Examination Are Commonly Not Enough To Diagnose A Foreign  Body Ingestion; Therefore, Conventional Radiography Is Routinely Used To Detect  Them. Point-Of-Care Ultrasound Is Widely Used In The Emergency Department For  Several Diagnostic Applications But There Are Few Articles Describing The  Possibility To Use Point-Of-Care Ultrasound To Detect Ingested Foreign Bodies,  And The Necessary Training To Get Competent In This Application. The Main  Objective Of This Paper Is To Illustrate The Use Of Point-Of-Care Ultrasound  (Pocus) To Detect Ingested Foreign Bodies. The Secondary Objective Is To Describe  A Limited Training, Necessary For Emergency Pediatricians, To Obtain This Skill.  Methods: This Is A Case Series Of Eight Pediatric Patients Who Presented To The  Pediatric Emergency Department (Ed), With Suspected Ingestion Of Fb, And Were  Assessed With Pocus. Physician Sonographers Were Two Pediatricians And Three  Residents In Pediatrics Working In Two Italian Pediatric Eds. All Sonographers  Participated In A 2-Day Pocus Workshop Which Included The Most Common Pediatric  Pocus Applications. Results: Pocus, Performed By Emergency Pediatricians Who  Participated To A Limited Training, Allowed To Always Identify The Foreign Bodies  Ingested. Conclusions: We Demonstrate That An Appropriate And Limited Training  Allows Pediatric Emergency Physicians To Correctly Identify Foreign Body In The  Esophagus Or Stomach. Point-Of-Care Ultrasound In Foreign Body Ingestion In The  Emergency Department May Allow To Prioritize The Escalation Of Care In Children  And It Can Contribute To Reduce The Time To Endoscopic Management When Needed.",,,
386,2021,"Choi, J.","Choi, Jongbong; Song, Yeongtak; Lee, Heekyung; Cho, Yongil; Han, Tae Hee; Lim, Tae Ho",Canadian Journal Of Anaesthesia = Journal Canadien D'Anesthesie,,PubMed,10.1007/s12630-021-02069-0,,Comparison Of The Strength Of Various Disposable Videolaryngoscope Blades,"Purpose: Breaking Of Disposable Blades During Emergency Endotracheal Intubation Has Been Reported. Breakage Can Cause Serious Injury And Foreign Body Ingestion.  We Aimed To Measure And Analyze The Strength Characteristics Of Different  Disposable Videolaryngoscope Blades With The Application Of An Upward-Lifting  Force. Methods: We Measured The Strength Of Four Disposable Videolaryngoscope  Blades (C-Mac® S Video Laryngoscope Mac #3, Glidescope Gvl® 3 Stat, Pentax Aws®  Pblade Tl Type, And King Vision® Ablade #3) Using The Fracture Test. The Strength  Of 12 Samples Of Each Type Of Disposable Videolaryngoscope Blade Was Measured  Using An Instron 5,966 Tensile Tester By Applying An Upward-Lifting Force.  Results: After The Fracture Test Using C-Mac, Glidescope Gvl, Pentax Aws, And  King Vision, The Number Of Deformed Blades Were 0, 12, 3, And 7, Respectively,  And The Number Of Broken Blades Were 12, 0, 9, And 5, Respectively. The Mean  (Standard Deviation) Maximum Force Strengths Of Pentax Aws, C-Mac, King Vision,  And Glidescope Gvl Blades Were 408.4 (27.4) N, 325.8 (26.5) N, 291.8 (39.3) N,  And 262.7 (3.8) N, Respectively (P < 0.001). Conclusion: Clinicians Should Be  Aware Of The Varied Strength Characteristics Of The Four Types Of Disposable  Videolaryngoscope Blades When They Are Used In Endotracheal Intubation.",,,
387,2021,"Bangash, F.","Bangash, Fariha; Megna, James L.; Leontieva, Luba",Cureus,,PubMed,10.7759/cureus.13179,,Deliberate Foreign Body Ingestion In A 35-Year-Old Woman With Borderline Personality Disorder And Several Psychiatric Comorbidities,"Deliberate Foreign Body Ingestion (Dfbi) Is A Rare Psychopathological Disorder That Involves The Swallowing Of Non-Nutritive Objects To Cause Self-Harm. It Is  Most Commonly Associated With Borderline Personality Disorder (Bpd). Very Scant  Literature Has Been Published On The Psychopathological Understanding Or  Psychopharmacological Interventions. Mostly, Gastroenterological And Surgical  Management Regarding The Removal Of The Foreign Body Has Been Discussed In The  Literature. Dfbi Can Be Very Challenging In Terms Of The Treatment Of The Patient  And The Morale Of The Health Providers - It Exhausts The Patient And The Family  And Evokes Frustration Among The Medical Staff Due To Its Resistance To  Remission. By Presenting The Case Of A Patient In This Article, We Will Discuss  What Is Known About The Poorly Understood Dfbi And The Challenges And  Difficulties Encountered While Treating These Patients. Further, We Will Discuss  How A Biopsychosocial Approach Can Be Used In Treating These Patients.",,,
388,2021,De L.,"De Luca, Luca; Maltoni, Stefania",Clinical Journal Of Gastroenterology,,PubMed,10.1007/s12328-020-01236-y,,"Is Naso-Pharyngeal Swab Always Safe For Sars-Cov-2 Testing? An Unusual, Accidental Foreign Body Swallowing","Long And Sharp Objects Can Be Foreign Body Intentionally Or Accidentally Ingested. Timing Of Endoscopy Relies On Foreign Body Shape And Size, Localization  In Gastrointestinal Tract, Patient'S Clinical Conditions, Occurrence Of Symptoms,  Or Onset Of Complications. We Present A Case Of A 47-Year-Old Male With No Known  Comorbidity, Who Accidentally Swallowed A Portion Of A Naso-Pharyngeal Swab  Half-Broken During The Second Diagnostic Test For Sars-Cov-2. The Intact Swab Had  A Total Length Of 15 Cm And Was Made Of Wood. The Patient Was Asymptomatic,  Laboratory Tests Were Normal, And Neck-Chest-Abdominal X-Ray And Ct Scan Were  Negative For Major Complications. Upper Gastrointestinal Endoscopy Was Promptly  Performed To Prevent The Long Sharp Swab From Crossing The Pylorus Leading To  Serious Complications And, Therefore, Risk Surgical Intervention. The Patient Was  Intubated And The Procedure Was Carried Out Under General Anesthesia. In The  Gastric Body, Broken Naso-Pharyngeal Swab Was Detected Among The Food Debris, And  Using A Latex Rubber Hood, The 7.5 Cm Foreign Body Was Removed With A Retrieval  Alligator-Tooth Forceps. Our Hospital Is Located In A High-Risk Area Of Covid-19  Outbreak Where Many Naso-Pharyngeal Swabs Are Performed, And To Our Knowledge,  This Is The First Report Of Swab Ingestion During Sars-Cov-2 Test.",,,
389,2021,"Garcia, D.","Garcia, Dc; Da Silva, Jwa; De Gutierrez, Lg; Mingrone, Le; De Sá, Mjc",Acta Scientiae Veterinariae,,Web of Science,10.22456/1679-9216.112127,,Simultaneous Occurrence Of Ovarian Teratoma And Endometrial Cystic Hyperplasia With Pyometra In A Labrador Retriever Bitch,"Background: Ovarian Teratoma Is A Rare Tumor That Occurs In Dogs. Its Origin Comes From Embryonic Cells Of The Notochord And It Is A Unipotent Tumor. Pyometra Is The Accumulation Of Purulent Content In The Uterine Lumen. Cystic Endometrial Hyperplasia Is One Of The Factors Predisposing A Dog To The Development Of Pyometra. The Safest And Most Efficient Treatment For Pyometra Is Ovariohysterectomy. The Purpose Of This Report Was To Describe A Case Of Ovarian Teratoma And Cystic Endometrial Hyperplasia With Concomitant Pyometra In A Labrador Retriever Bitch. Case: A 10-Year-Old Bitch Labrador Retriever, Weighing 42 Kg, Was Evaluated At Animal Care Barueri Veterinary Clinic, In Barueri, Sao Paulo. The Patient Was Referred From Another Veterinary Service To Our Clinic For An Ovariohysterectomy And Removal Of An Intestinal Foreign Body As Previous Ultrasonography (Us) Had Indicated The Presence Of Pyometra And A Foreign Body In The Descending Colon (She Had Ingested Cloth According To The Owner'S Report). Laboratory Tests, Complete Blood Count, Alanine Aminotransferase, Alkaline Phosphatase, Urea, And Creatinine Levels Did Not Show Any Significant Changes. Upon Examination, The Clinical Signs Were Mucopurulent Vaginal Discharge, 5% Dehydration, Rectal Temperature 39.1 Degrees C, Mild Abdominal Pain On Palpation, Normophagy, Normodipsia, And Normal Defecation And Urination. Laboratory Tests And A New Us Were Requested On Which The Uterus Was Observed With The Presence Of Luminal Anechoic Content And Increased Uterine Diameter (Uterine Horns 3.97 Cm), An Acoustic Intestinal Shadow Supposedly From A Foreign Body, And On The Leukogram, Leukocytosis (23,600/Mm3) Due To Neutrophilia With A Right Shift (20,532/Mm3) Was Observed. Therapeutic Ovariohysterectomy And Exploratory Celiotomy Were Chosen As Therapeutic Options. Celiotomy With Caudoumbilical Mid Ventral Access Was Performed. When The Left Uterine Horn Was Identified, An Attempt Was Made To Pull It In Order To Expose The Left Ovary, But This Maneuver Was Not Successful. For This Reason, The Abdominal Incision Was Enlarged Cranially. At That Point, A Huge Mass Was Observed In The Ovary (Which Was Supposedly The Acoustic Shadow Of The Foreign Body In The Descending Colon/Left Ovary). The Intestines Appeared Normal. Macroscopically, The Mass Had An Irregular Surface, Round Shape, Firm Consistency, And Was 15 Cm Long X 10 Cm Wide. Once Removed, The Mass Was Incised In The Transversal Direction, Purulent Content, Hair, And Mineralized Areas Inside It Were Observed. Histopathological Examination Showed Neoplastic Proliferation, Consisting Of Cells With Elongated Epithelioid Shape That Were Arranged In Long Irregular Bundles Among Well-Differentiated Adipose Tissue. An Exuberant Eosinophilic Matrix With Extensive Cystic Areas Filled With Lamellar Keratin And Hairy Stems Covered By Squamous Epithelium Was Also Observed. Extensive Areas Exhibiting Nervous Tissue With Minimal Atypia Are Shown. The Morphological Picture Was Compatible With Teratoma. Discussion: The Present Report Describes The Concomitant Presence Of Ovarian Teratoma And Pyometra In A Dog. The Diagnosis Of Pyometra Requires Complementary Tests (Laboratory And Imaging). The Intestinal Acoustic Shadow Observed On The Two Us Images Obtained By Two Different Professionals Was Suggestive Of Intestinal Foreign Body But Was Also A Wrong Diagnosis, Which Was Confirmed After An Exploratory Celiotomy When The Mass In The Left Ovary Was Identified. On The Histopathological Examination Of This Present Case, Epithelial, Nervous, And Cartilaginous Tissues Were Observed. This Differentiation Of Tissues Corroborated The Teratoma Diagnosis. Thus, The Importance Of An Accurate Diagnosis Contributes To The Resolution Of A Surgical Conditions That May Have Had A Poor Prognosis When The Procedure Took A Longer Time To Perform.",,,
390,2021,"Gershman..., R.","R Furlano, G Gershman...",Practical Pediatric ...,"R Furlano, G Gershman... - Practical Pediatric ..., 2021 - Wiley Online Library",Google Scholar,10.1002/9781119423492.ch29,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119423492.ch29,Foreign Body Ingestion,Endoscopy Is A Common And Useful Means Of Accessing The Upper Gastrointestinal Tract For The Purpose Of Retrieving Ingested Foreign Bodies In Children. The Majority Of Foreign Body ...,"Endoscopy is a common and useful means of accessing the upper gastrointestinal tract for the purpose of retrieving ingested foreign bodies in children. The majority of foreign body ingestions occur in younger ages, with a peak incidence between the ages of 6 months and 6 years. Indications for removal depend upon a patient's age and size, the type and form of the swallowed item, its location as well as the clinical symptoms and time since ingestion. Esophageal impaction of a foreign body  whether it is blunt or sharp  requires more urgent intervention compared to more distally located foreign bodies. Food bolus impaction in children may indicate underlying esophageal pathology, such as eosinophilic esophagitis, peptic or other strictures, achalasia, and other motility disorders. Optimal endoscopic management of foreign bodies depends on their location and type.",,
391,2021,"Gomez‐Esquivel, R.",Rd Gomez‐Esquivel,The Esophagus,"RD Gomez‐Esquivel - The Esophagus, 2021 - Wiley Online Library",Google Scholar,10.1002/9781119599692.ch41,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119599692.ch41,Foreign Bodies,Foreign Body Ingestion Is A Frequent Occurrence. The Use Of Two X‐Ray Views Will Help Localize The Foreign Body To The Esophagus. Food Boluses Represent The Most Common Type Of ...,"Foreign body ingestion is a frequent occurrence. The use of two X-ray views will help localize the foreign body to the esophagus. Food boluses represent the most common type of foreign body in the esophagus. Patients having trouble with secretions due to foreign body ingestion should have an endoscopy within 24 hours. Button batteries constitute a special type of foreign bodies because they cause damage by three combined mechanisms. Due to their shape, these devices can lodge in the esophagus. Electrical current generated in the negative pole of the battery produces hydroxide, and the acid contents of the stomach can cause the battery to leak its contents, which are mainly alkaline electrolytes. The combination of those factors causes liquefaction necrosis, which in turn can lead to perforation and future scarring. Magnets are another type of foreign body that deserves special attention.",,
392,2021,"Gouda, M.","Gouda, Mahmoud; Elkholi, Ayman; Tranah, Thomas H.; Shawcross, Debbie L.",Bmj Open Gastroenterology,,PubMed,10.1136/bmjgast-2021-000767,,An 18-Year-Old Girl With Retrosternal Burning Discomfort: A Bitter Pill To Swallow,"Caustic Injury Secondary To Impaction Of Ingested Batteries Is A Potentially Severe Cause Of Oesophageal Injury With An Increasing Incidence That Reflects  Consumer Trends And The Utilisation Of Compact Electronic Devices. Delays To  Recognition And Management Are Associated With Increased Risk Of Complications,  Morbidity And Mortality. In This Manuscript, We Describe A Case Presentation And  Literature Review Of A Patient Presenting With Upper Oesophageal Odynophagia  After The Deliberate Ingestion Of Multiple Foreign Bodies.",,,
393,2021,"Craig, M.","Craig, Michael A.; Kay, Carl; Wells, Thomas B.; Barnes, Maurice C.",Cureus,,PubMed,10.7759/cureus.20581,,Dissolving Potassium Tablets Masquerading As Concealed Foreign Body Ingestion,"Foreign Body Ingestion Is A Common Consultation For Gastroenterologists. Without Knowing The Object(S) Ingested, The Differential Diagnosis Is Broad, Especially  In Patients With Underlying Mental Health Conditions, Such As Uncontrolled  Bipolar Disorder, Prior Suicide Attempts, Or Recreational Drug Use. The  Differential Should Include Substances Taken With Suicidal Intent Or For  Concealment Of Illicit Drugs. Certain Foreign Objects May Require Urgent Or  Emergent Endoscopic Intervention. However, One Should Also Consider Benign,  Iatrogenic Causes Such As Large, Radiolucent Potassium Pills Given In The  Emergency Department, Which Do Not Require Further Intervention Or  Hospitalization.",,,
394,2022,"Rf, B.","D. D., Belanny; R. F., Perdana",New Armenian Medical Journal,"B DD, P RF - New Armenian Medical Journal, 2022 - search.ebscohost.com",Google Scholar,10.56936/18290825-2022.16.2-66,https://web.p.ebscohost.com/abstract?site=ehost&scope=site&jrnl=18290825&AN=160449218&h=p5sZ0jK2%2f7%2f0gbI3sj9aGuDQ5SnK0xib%2f%2bnji2l2a6IM4xqsn%2fdDz76rloehnZS59JxGeQ5q%2bMfnb%2bPlSq7jHw%3d%3d&crl=c&resultLocal=ErrCrlNoResults&resultNs=Ehost&crlhashurl=login.aspx%3fdirect%3dtrue%26profile%3dehost%26scope%3dsite%26authtype%3dcrawler%26jrnl%3d18290825%26AN%3d160449218,Case Report Of Fatal Deep Neck Abscess: A Complication Of Aerodigestive Foreign Bodies.,"Background: Ingestion Of A Foreign Body Is A Typical Emergency In The Field Of Health Services Otorhinolaryngology Head And Neck Surgery. Pharyngooesophageal Perforation, Aorto-...","Background: Ingestion of a foreign body is a typical emergency in the field of health services otorhinolaryngology head and neck surgery. Pharyngooesophageal perforation, aorto-oesophageal fistula, and deep neck infection are all serious consequences, albeit uncommon. Several risk factors for complications that aggravate this condition include time of therapy (> 24 hours after the onset of symptoms), sharp foreign objects such as fish bones, mental illness, and diabetes mellitus are risk factors for complications. Although deep neck abscesses have decreased due to the availability of antibiotics, these infections still occur with high morbidity and mortality rates if the patient is not managed properly. Aim: to report case of fatal deep neck abscess and aerodigestive complications of foreign agency in Dr. Soetomo Teaching Hospital, Surabaya Indonesia. Method: A retrospective report of 4 cases of ingestion of foreign bodies with complications of deep neck abscess resulted in death in Dr. Soetomo Academic Hospital, Surabaya between the year 2018 and 2020. This case report describes clinical symptoms, result of physical and diagnostic examinations, and therapy of each subject until death. Results: Between 2018 and 2020, there were four cases at Dr. Soetomo Teaching Hospital, Surabaya with a history of foreign body ingestion that escalated to severe neck abscesses. In all four cases, the subjects died as a result of deep neck abscess complications. Conclusion: Four cases were recorded, each of which had a history of ingestion of foreign bodies causing complications of deep neck abscess. In addition, the co-morbidities of diabetes mellitus increase the risk of death for the patient.",,
395,2022,"Mittal, A.","Mittal, A; Amer, K; Manoharan, A; Hohenleitner, J; Arrigo, R",Cureus Journal Of Medical Science,,Web of Science,10.7759/cureus.25058,,Endoscopic Management Of Ingested Narcotic Substances: A Case Report And Literature Review,"Management Of Swallowed Narcotics Remains In Contention Despite The Increased Frequency Of Occurrence. International Societies Recommend Conservative Therapy With Escalation To Surgical Interventions In Cases Where Drug Packets Do Not Progress. However, Multiple Studies Demonstrate A Treatment Benefit Of Endoscopic Intervention. We Report The Case Of A 27-Year-Old Male Who Presented After Ingesting Heroin Bundles And Failed The 48-Hour Of Conservative Therapy. Repeat Computed Tomography Scanning Demonstrated No Movement Of The Package. Endoscopic Retrieval Was Successful, And The Patient Was Discharged The Same Day. Endoscopic Intervention In The Removal Of Bagged Narcotics Should Be Considered In Patients Presenting After Purposely Ingesting Narcotics As Means Of Planned Concealment.",,,
396,2022,"Motohashi, K.","Motohashi, Kenzo; Thanacoody, Ruben Hk","British Journal Of Hospital Medicine (London, England : 2005)",,PubMed,10.12968/hmed.2022.0313,,Toxicology In The Emergency Department: What'S New?,"Intentional And Accidental Drug Overdose, Recreational Drug Use And Exposure To Toxic Substances Are Common Reasons For People Presenting To Emergency  Departments. Although The Mortality Rate Associated With These Presentations Is  Low In The Uk, They Can Lead To Significant Morbidity And Prolonged Hospital  Admissions. This Review Discusses New Developments In The Management Of  Paracetamol Overdose. Several New Protocols For The Infusion Of Acetylcysteine,  The Antidote For Paracetamol Overdose, Have Been Proposed In The Past Decade And  Evaluated In Clinical Studies. The 12-Hour Scottish And Newcastle Acetylcysteine  Protocol Regimen And 20-Hour Australian Two-Infusion Bag Protocol Have Been  Widely Adopted Into Clinical Practice And Endorsed In National Guidelines Because  Of Their Shorter Duration, Reduction In Adverse Effects And Efficacy In Treating  Overdose. This Article Includes A Care Pathway That Can Facilitate The  Implementation Of The Scottish And Newcastle Acetylcysteine Protocol. This  Article Also Discusses The Emergency Management Of Ingested Button Batteries,  Describes The Emerging Threat Of Novel Psychoactive Substances, And Provides An  Update On New Uk Antidote Guidelines. Further Up-To-Date Guidance On Management  Of Clinical Toxicology Is Available To Healthcare Professionals On The Internet  Database Toxbase.",,,
397,2022,"Ningi, S.","S Aliyu, Ab Ningi",,"S Aliyu, AB Ningi - IJCMCR. 2022; 23 (2) - ijclinmedcasereports.com",Google Scholar,10.46998/IJCMCR.2022.23.000558,https://ijclinmedcasereports.com/pdf/IJCMCR-CR-00558.pdf,Trans-Vesical Migration Of A Swallowed Needle With Intra-Urethral Impaction In A 12-Year-Old Boy,"Foreign Body, Of Whatever Type, When Ingested, Either Accidentally Or Intentionally, Elicits Strong Reaction From Care-Givers, Especially; If The Victim Is A Child. Infants And Children Are The ...","Foreign body, of whatever type, when ingested, either accidentally or intentionally, elicits strong reaction from care-givers, es-
pecially; if the victim is a child. Infants and children are the most commonly seen victims, ingestion is often intentional, unlike
adults, who constitute a small proportion of victims and ingestion is often accidental. The number of foreign bodies found at
the emergency units of many hospitals is quite large. These include coins, safety pins, sewing needles, button batteries and nuts.
However, many of the foreign bodies are excreted safely without any untoward events, except for foreign bodies with sharp
ends, containing toxic chemicals and where there is a pre-existing anatomical abnormality in the gastro-Intestinal Tract (GIT).
Foreign bodies, especially those with sharp ends are prone to getting arrested, inflicting mucosal erosion or even perforating any
part of the GIT, particularly at the site of physiologic or anatomic constrictions. These areas are the three Oesophageal anatomic
narrowing, the pylorus, Ileo-Caecal valve and the recto-sigmoid junction. Most foreign bodies can be seen on plain radiograph,
removal, where indicated, can be done endoscopically or through an open surgery. But, majority can be managed expectantly,
aided by patience, careful serial radiographic monitoring and perhaps use of lubricating solutions like liquid paraffin.
Report of a transluminal migration is rare. We therefore report an unusual case of a trans-vesical migration of a swallowed
sewing needle with intra-urethral impaction in a 12-year-old boy. The impacted needle was removed via an open Urethrotomy.",,
398,2022,"Olaoye..., P.","Po Adeoye, Oa Afolabi, Hk Omokanye, I Olaoye...",African Health ...,"PO Adeoye, OA Afolabi, HK Omokanye, I Olaoye... - African Health ..., 2022 - ajol.info",Google Scholar,10.4314/ahs.v22i2.42 ,https://www.ajol.info/index.php/ahs/article/view/228987,Foreign Bodies In The Aerodigestive Tract: Time For Comprehensive Preventive Measures,Background: Foreign Body (Fb) In The Aerodigestive Tract Presents More Commonly In Children And Remains A Surgical Emergency With Potential For Fatal Complications. Objectives: To ...,"Abstract

Background: Foreign body (FB) in the aerodigestive tract presents more commonly in children and remains a surgical emergency with potential for fatal complications.

Objectives: To describe management and outcomes of aerodigestive FB managed at University of Ilorin Teaching Hospital (UITH) and proffer preventive measures.

Methods: A 9-year retrospective review of all patients with foreign body in the aerodigestive tract managed between March 2011 and July 2020.

Results: Sixty-six patients were studied. Median age was 9years with M:F ratio =1.6:1. FB was ingested in 38(57.6%) patients, aspiration occurred in 28(42.4%). Denture was most common FB 20(30.3%); plastic whistle/valve placed in dolls or football accounted for 4(6.1%). When ingested, FB was impacted in cervical 17(44.7%), upper thoracic 10(26.3%) and middle thoracic 2(5.3%) oesophagus. Oesophagoscopy was used in 30(8.9%) for retrieval. When aspirated, FB was located in the right bronchus 10(35.7%), left bronchus 7(25.0%), hypopharynx and trachea 2(7.1%) each, and cricopharynx 1(3.5%); no FB was found in 3(10.7%) patients. Direct Laryngoscopy was the method of retrieval in 3(10.1%) patients while others had rigid bronchoscopy. Mortality rate was 1.5%.

Conclusion: Children are most vulnerable group. Preventive effort should include public health education and close monitoring of children by parents and care givers during play.",,
399,2022,"Pantazopoulos, I.","Pantazopoulos, I; Mavrovounis, G; Mermiri, M; Adamou, A; Gourgoulianis, K",International Journal Of Prisoner Health,,Web of Science,10.1108/ijph-06-2021-0054,,Intentional Ingestion Of Batteries And Razor Blades By A Prisoner: A True Emergency?,"Purpose Few Case Studies In The Literature Report On Adult Patients With Intentional Foreign Body Ingestion. Prisoners Deliberately Ingest Foreign Bodies, Such As Cylindrical Alkaline Batteries And Razor Blades, To Achieve Hospitalization Or Commit Suicide. The Purpose Of This Paper Is To Present A Case Of Deliberate Ingestion Of Batteries And Razor Blades By An Inmate. Design/Methodology/Approach The Authors Present A Case Of An Incarcerated Man In Greece, Who Intentionally Ingested Three Cylindrical Alkaline Batteries And Three Razor Blades Wrapped In Aluminum Foil. Findings The Patient Was Treated Conservatively With Serial Radiographs And Was Subsequently Discharged Without Complication. This Paper Discusses The Complications And Examine The Current Guidelines Available. Originality/Value To Best Of Authors' Knowledge, This Is The First Report Of A Simultaneous Ingestion Of Batteries And Razor Blades.",,,
400,2022,"Saupe, H.",H Saupe,,H Saupe - 2022 - books.google.com,Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=AX6rEAAAQBAJ&oi=fnd&pg=PR11&dq=Holistic+Cancer+Medicine:+Integrative+Strategies+For+A+New+Approach+To+Health+And+Healing+saupe+h+2022&ots=pEZ8vj472I&sig=lhGKtbG5TZQdL6L4Po9CnpVYwms&redir_esc=y#v=onepage&q=Holistic%20Cancer%20Medicine%3A%20Integrative%20Strategies%20For%20A%20New%20Approach%20To%20Health%20And%20Healing%20saupe%20h%202022&f=false,Holistic Cancer Medicine: Integrative Strategies For A New Approach To Health And Healing,"A Groundbreaking, Comprehensive Guide On Managing, Treating, And Preventing Cancer.* Introducing: The Holistic Model Of The Twelve Vital Fields* It’Sa Sad Truth Of Our Times That One In ...",Abstract not available,,
401,2022,"Zhao, G.","Zhao, Gt; Zhao, Sq; Wang, Sj; Liu, X; Qi, Q; Li, Ym; Zuo, M",Journal Of Forensic Sciences,,Web of Science,10.1111/1556-4029.15079,,Unexpected Death From Hepatic Abscess 16 Months After Toothbrush Ingestion,"The Development Of A Hepatic Abscess Secondary To Foreign Body (Fb) Ingestion Remains Rare In Forensic Practice. Herein, We Present A Case Of A Prisoner Who Died In The Hospital And A Forensic Autopsy Was Performed To Confirm The Cause Of Death. A 14.5-Cm-Long Toothbrush Handle Was Found In The Duodenum And Had Penetrated The Right Lobe Of The Liver, Consistent With The Repeated Abdominal Pain In His Clinical History. The Clinical History And Investigation Confirmed That He Had Ingested The Toothbrush Handle 16 Months Prior. This Case Highlights A Rare Complication Of Intentional Ingestion Of Foreign Bodies, And Pathologists Should Be Aware Of This Rare Entity Which Links Hepatic Abscess And Fb Ingestion.",,,
402,2022,"Tagliaferri, A.","Tagliaferri, Ariana R.; Melki, Gabriel; Feghali, Crystal; Cavanagh, Yana",Radiology Case Reports,,PubMed,10.1016/j.radcr.2022.09.071,,Accidental Ingestion Of An Endodontic File: A Case Report And Literary Review,"Ingestion And Aspiration Can Be Accidental Or Intentional Events In Both Adults And Children. Approximately 1500 People In The United States Die From Ingestion  Of Foreign Bodies Annually. Patients With Cognitive Disabilities, Neurological  Disorders, Elderly Age Or Incarcerated Patients Carry The Highest Risk Of  Intentional And/Or Accidental Ingestion Of Foreign Objects. Although Uncommon,  Ingestion Of Foreign Objects During Dental Procedures Can Be Potentially  Life-Threatening And Increased Awareness Is Important. Sharp Objects Ingested  From Dental Procedures Can Cause Impaction, Obstruction, Hemorrhage, Or  Perforation And May Need Endoscopic Or Surgical Intervention. Herein We Report A  Case Of A 22-Year-Old Male, Who Underwent Routine Dental Cleaning And  Accidentally Ingested An Endodontic File, Retrieved From The Ascending Colon  Endoscopically Without Complications.",,,
