Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
2010,"Dass, S.","SK Singhal, V Arora, A Dass","SK Singhal, V Arora, A Dass - Online Journal of Health and Allied …, 2010 - researchgate.net",Online Journal of Health and Allied …,An unusual foreign body of esophagus,"We report a rare case of an unusually long foreign body (Datun) impacted in the esophagus of a 56 year-old gentleman. He was literate, without any psychiatric illness and had been …",https://www.researchgate.net/profile/Xavier-Forceville-2/publication/21350168_An_unusual_foreign_body_in_the_esophagus/links/53ed202a0cf23733e806bf4b/An-unusual-foreign-body-in-the-esophagus.pdf,Google Scholar,,,
2011,"Slivka, I.","II El Hajj, BW Clarke, A Slivka","II El Hajj, BW Clarke, A Slivka - Endoscopy, 2011 - thieme-connect.com",Endoscopy,Retrieval of a long foreign body from the stomach with a duodenoscope,Foreign body ingestion presents a common clinical problem facing gastroenterologists and surgeons. Most foreign bodies pass spontaneously but long objects in the range of 6–10 cm …,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0030-1256139,Google Scholar,,,
2011,"Raikwar…, G.","G Aggarwal, B Satsangi, R Raikwar…","G Aggarwal, B Satsangi, R Raikwar… - Ulus Travma Acil …, 2011 - jag.journalagent.com",Ulus Travma Acil …,Unusual rectal foreign body presenting as intestinal obstruction: a case report,"Colorectal foreign bodies are infrequently encountered, and are mostly associated with increased incidence of homosexuality and anal auto-erotism. The diagnosis may be confirmed …",https://jag.journalagent.com/z4/download_fulltext.asp?pdir=travma&plng=eng&un=UTD-84758,Google Scholar,,,
2011,"Zvizdić, Z.",Z Zvizdić,"Z Zvizdić - Medical Journal/Medicinski Žurnal, 2011 - search.ebscohost.com",Medical Journal/Medicinski Žurnal,FOREIGN BODIES INGESTION IN CHILDREN.,"Ingestija stranih tijela je čest problem u djece. Mada većina ingestiranih stranih tijela spontano prođe kroz gastrointestinalni trakt, neka od njih mogu uzrokovati ozbiljne komplikacije, …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15125866&AN=71846142&h=k0Xc3SZN4OpNmXcFqDMKSZ%2FwpP%2FkYl15%2BXq%2FjDkD4rOMu5sGrrZ8eAJyfuwxKVjwq3FfgdoPNs%2BIj7JWxDcF5g%3D%3D&crl=c,Google Scholar,,,
2011,"Hsu…, M.","MD Catherine Lewis, HK Hsu…","MD Catherine Lewis, HK Hsu… - Journal of the National …, 2011 - search.proquest.com",Journal of the National …,Aspiration of foreign bodies in adults with personality disorders: impact on diagnosis and recurrence,"Most cases of foreign-body aspiration are accidental events in children, whereas the majority of adults will have neurological dysfunction, trauma, alcohol abuse, or psychological …",https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Google Scholar,,,
2011,"Kim, Y.","YS Yoo, DW Kim","YS Yoo, DW Kim - Korean Journal of Bronchoesophagology, 2011 - koreascience.kr",Korean Journal of Bronchoesophagology,"Detection of simulative foreign body using three dimensional reconstruction technique, introduction and application",Background and Objectives Detailed information about the impacted esophageal foreign body is essential for safe extraction. Three dimensional reconstruction technique was applied …,https://koreascience.kr/article/JAKO201119655746781.page,Google Scholar,,,
2011,"Spiridakis…, E.","E Drakonaki, M Chatzioannou, K Spiridakis…","E Drakonaki, M Chatzioannou, K Spiridakis… - Diagn Interv …, 2011 - researchgate.net",Diagn Interv …,Acute abdomen caused by a small bowel perforation due to a clinically unsuspected fish bone,We report the case of a 78-year-old woman with a three-day history of abdominal pain and vomiting. An abdominal plain film showed a distended small bowel loop and no signs of free …,https://www.researchgate.net/profile/Georgios-Panagiotakis-2/publication/209349235_Acute_abdomen_caused_by_a_small_bowel_perforation_due_to_a_clinically_unsuspected_fish_bone/links/0912f5058a52dda4ec000000/Acute-abdomen-caused-by-a-small-bowel-perforation-due-to-a-clinically-unsuspected-fish-bone.pdf,Google Scholar,,,
2011,"Sevincº…, S.","S Akbulutº, B Cakabay, MM Sevincº…","S Akbulutº, B Cakabay, MM Sevincº… - Hepato …, 2011 - researchgate.net",Hepato …,Therapeutic Challenge for Surgeons,"Gastric outlet obstruction is commonly caused by gastric ulcers, pyloric stenosis, foreign bod-ies, and compression of the duodenum by pan-creatic cancer and other intra-abdominal …",https://www.researchgate.net/profile/Mert-Sevinc/publication/51208831_Gastric_outlet_obstruction_caused_by_Riedel's_lobe_of_the_liver_A_diagnostic_and_therapeutic_challenge_for_surgeons/links/5727c1da08aee491cb414cb1/Gastric-outlet-obstruction-caused-by-Riedels-lobe-of-the-liver-A-diagnostic-and-therapeutic-challenge-for-surgeons.pdf,Google Scholar,,,
2012,"Kim…, S.","SJ Moon, JH Lee, SW Jeong, JW Kim…","SJ Moon, JH Lee, SW Jeong, JW Kim… - Journal of Veterinary …, 2012 - jstage.jst.go.jp",Journal of Veterinary …,Chronic bronchocutaneous fistula caused by toothpick foreign body in a Maltese dog,"A 7-year-old, 1.76 kg Maltese dog presented with a 4-year history of a chronic pustular lesion and a wet cough. Erosive lesions were seen at the left thoracic wall. Radiology and …",https://www.jstage.jst.go.jp/article/jvms/74/5/74_11-0376/_article/-char/ja/,Google Scholar,,,
2012,"Nakanome…, K.","K Watanabe, M Amano, A Nakanome…","K Watanabe, M Amano, A Nakanome… - The Tohoku journal of …, 2012 - jstage.jst.go.jp",The Tohoku journal of …,The prolonged presence of a fish bone in the neck,"Fish bones are one of the most frequently observed ingested foreign bodies in the pharynx-esophagus. Fish bones have a tendency to stick and penetrate the mucosa, which can …",https://www.jstage.jst.go.jp/article/tjem/227/1/227_1_49/_article/-char/ja/,Google Scholar,,,
2012,"Foo…, C.","CC Chang, HJ Lin, NP Foo…","CC Chang, HJ Lin, NP Foo… - Ulus Travma Acil Cerrahi …, 2012 - jag.journalagent.com",Ulus Travma Acil Cerrahi …,The hidden devil: unexpected retained knife in the chest wall,We report a 52-year-old woman presenting with stab wounds on her back and upper extremities. A knife retained in her chest wall was not discovered in the emergency department. …,https://jag.journalagent.com/z4/download_fulltext.asp?pdir=travma&plng=tur&un=UTD-08931,Google Scholar,,,
2012,"Reichart…, N.","N Schnider, PA Reichart…","N Schnider, PA Reichart… - … International-Journal of …, 2012 - researchgate.net",… International-Journal of …,Intraoral foreign bodies detected 40 years after a car accident using cone beam computed tomography,"Foreign bodies are common findings in the maxillofacial region, most commonly the result of accidents and physical aggression. Among the objects frequently found in the orofacial …",https://www.researchgate.net/profile/Michael-Bornstein/publication/232220615_Intraoral_foreign_bodies_detected_40_years_after_a_car_accident_using_cone_beam_computed_tomography/links/0deec5311eb728237a000000/Intraoral-foreign-bodies-detected-40-years-after-a-car-accident-using-cone-beam-computed-tomography.pdf,Google Scholar,,,
2012,"Delshadfar…, E.","E Gutkin, A Shalomov, H Delshadfar…","E Gutkin, A Shalomov, H Delshadfar… - Gastrointestinal …, 2012 - giejournal.org",Gastrointestinal …,Hidden treasure—esophageal diverticulum retained “foreign” bodies,"A 64-year-old man presented with a history of HIV infection with a low CD4 count (125 cells uL; normal, 476-1261 cells uL) and a 6-month history of dysphagia. Three months before, he …",https://www.giejournal.org/article/S0016-5107(11)02221-8/abstract,Google Scholar,,,
2013,"Ryou, A.","A Shams, M Ryou","A Shams, M Ryou - Bariatric Endoscopy, 2013 - books.google.com",Bariatric Endoscopy,Endoscopic Management of Post-Bariatric Foreign Bodies,"In the non-bariatric adult population, foreign bodies relate to ingested foreign materials and have a higher prevalence in the elderly, mentally impaired, and incarcerated populations [1, …",https://books.google.com/books?hl=en&lr=&id=CTdDAAAAQBAJ&oi=fnd&pg=PA127&dq=(%22foreign+obj*%22+OR+%22foreign+bod*%22)&ots=LDneo70yYN&sig=oOZVV2Q-tn8CcvJd01feSi6GKXQ,Google Scholar,,,
2013,"Gumussoy…, I.","I Cukurova, E Demirhan, M Gumussoy…","I Cukurova, E Demirhan, M Gumussoy… - Turk Arch …, 2013 - researchgate.net",Turk Arch …,Foreign body in frontal sinus: case report,A foreign body in the frontal sinus is extremely rare and most cases are related to maxillo-facial trauma. Sixty eight year-old female patient was admitted to our clinic with left nasal …,https://www.researchgate.net/profile/Murat-Gumussoy/publication/287517360_Foreign_Body_in_Frontal_Sinus_Case_Report/links/5d978fad92851c2f70eb8dfa/Foreign-Body-in-Frontal-Sinus-Case-Report.pdf,Google Scholar,,,
2013,"Özkul…, C.","C Alemdar, A Demirtaş, M Gem, E Özkul…","C Alemdar, A Demirtaş, M Gem, E Özkul… - J Clin Exp Invest www …, 2013 - jceionline.org",J Clin Exp Invest www …,Orthopedic approach to foreign body stings,"Objective: Although foreign body injuries are quite common, there are an insufficient number of publications on this matter. The aim of this study was to evaluate patients with foreign …",https://www.jceionline.org/download/orthopedic-approach-to-foreign-body-injuries-3491.pdf,Google Scholar,,,
2013,"Sood, P.","P Sangar, G Henry, S Sood","P Sangar, G Henry, S Sood - Sri Lanka Journal of Surgery, 2013 - account.sljs.sljol.info",Sri Lanka Journal of Surgery,Foreign bodies in the rectum: report of a case series and review of the literature,"Foreign bodies in the rectum are remarkable, both in their variety, and in the methods used for extraction. We report four cases presenting to the surgical department having a variety of …",https://account.sljs.sljol.info/index.php/sljo-j-sljs/article/view/5960/4696,Google Scholar,,,
2013,"Liang, S.","S Nie, Z Wang, W Liu, X Liang","S Nie, Z Wang, W Liu, X Liang - Eye Sci, 2013 - cdn.amegroups.cn",Eye Sci,"Clinical application of X-ray, B-scan, and CT in the diagnosis of ocular foreign bodies","Purpose: To analyze the sensitivity and specificity of X-ray, B-ultrasound, and CT scan in diagnosing ocular foreign bodies and to compare the accuracy of applying these three imaging …",https://cdn.amegroups.cn/journals/ykxb/files/journals/28/articles/3724/public/3724-PB1-R1.pdf,Google Scholar,,,
2013,"Basagiannis…, G.","GS Panagoulias, CS Basagiannis…","GS Panagoulias, CS Basagiannis… - Annals of …, 2013 - annalsgastro.gr",Annals of …,Gastrointestinal cocaine body packing,"Herein we present two cases brought under custody to our hospital for treatment, after swallowing packages containing cocaine. Two male persons, a 31-year-old Nigerian and a 38-…",http://www.annalsgastro.gr/index.php/annalsgastro/article/download/1225/982,Google Scholar,,,
2014,"Top, S.","S Taş, H Top","S Taş, H Top - Ulus Travma Acil Cerrahi Derg, 2014 - jag.journalagent.com",Ulus Travma Acil Cerrahi Derg,"Intraorbital wooden foreign body: clinical analysis of 32 cases, a 10-year experience","BACKGROUND: We aimed to describe herein the clinical features, diagnosis and treatment of intraorbital wooden foreign body injuries. METHODS: A case series review of orbital …",https://jag.journalagent.com/z4/download_fulltext.asp?pdir=travma&plng=tur&un=UTD-93876,Google Scholar,,,
2014,"Keleş…, A.","A Bozkurt, M Karabakan, MO Keleş…","A Bozkurt, M Karabakan, MO Keleş… - Journal of …, 2014 - search.ebscohost.com",Journal of …,"An Iatrogenic Intravesical Foreign Body, a Piece of Foley Catheter: Case Report.","Although the cases of intravesical foreign body are rare, it should always be considered in the differential diagnosis of patients presenting with lower urinary tract symptoms. In general, …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=21466505&AN=98747638&h=97bOhl0hMAFbz1fJCWf7CpbTClL8BGqvznWP4CzYAjwWy%2B8bZo3UJVhB1CGN8kixTtmzBnYuG%2FFYVJ%2Bl2Nofww%3D%3D&crl=c,Google Scholar,,,
2014,"Rad…, E.","E Bolvardi, M Pezeshki Rad…","E Bolvardi, M Pezeshki Rad… - … Journal of Medicine, 2014 - pdfs.semanticscholar.org",… Journal of Medicine,Is Bedside Ultrasound a Reliable Method for Detecting Soft Tissue Foreign Bodies in Upper Extremity Penetrating Trauma Patients?,Background: Detection of foreign bodies trapped in the soft tissue is a diagnostic problem in patients with penetrating trauma referring to the emergency department. In spite of …,https://pdfs.semanticscholar.org/d0be/0d13b01ad4ea427b1285f7c52594c504818f.pdf,Google Scholar,,,
2014,"Blaivas, M.","M Lyon, M Blaivas","M Lyon, M Blaivas - Emergency ultrasound, 2014 - McGraw Hill, New York",Emergency ultrasound,Ocular ultrasound,,,Google Scholar,,,
2014,"Sakarya, S.","S Goktas, Y Sakarya, M Ozcimen, R Sakarya","S Goktas, Y Sakarya, M Ozcimen, R Sakarya - Eur J Gen Med, 2014 - ejgm.co.uk",Eur J Gen Med,Cataract in low-grade uveitis due to scleral foreign body,We report a case of a 32 year-old male with cataract in the right eye who has a history of explosive industrial accidents 25 years ago. Foreign body reflection was seen into the old …,https://www.ejgm.co.uk/download/cataract-in-low-grade-uveitis-due-to-scleral-foreign-body-7184.pdf,Google Scholar,,,
2015,"Gruosso…, J.","J Cantrell, V Santos-Nevarez, P Gruosso…","J Cantrell, V Santos-Nevarez, P Gruosso… - Optometric …, 2015 - search.ebscohost.com",Optometric …,Topiramate-Induced Acute Bilateral Angle Closure Glaucoma and Transient Myopia: A Teaching Case Report.,The article presents a case study of topiramate-induced acute bilateral angle closure glaucoma and transient myopia which is a sulfamate-substituted monosaccharide and used for …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15214230&asa=N&AN=108590904&h=GXtwOGVtIyZ0f1M%2BDYrRXTpNOf3JQJ0HBGL1yEi%2BGUPzMy7LzqqsK6W08DCUzUKuA3Ug4cOV3MvD%2BP1SJJ1hGg%3D%3D&crl=c,Google Scholar,,,
2015,"Hong…, J.","JW Park, HS Choi, JS Lee, HP Hong…","JW Park, HS Choi, JS Lee, HP Hong… - Journal of the Korean …, 2015 - e-agmr.org",Journal of the Korean …,Clinical Characteristics of Geriatric Patients with Digestive System Foreign Body in Emergency Center,"BACKGROUND In patients with foreign bodies in their digestive systems, old age is associated with higher rates of incidence and complications. Therefore, we compared the …",http://www.e-agmr.org/journal/view.html?volume=19&number=4&spage=226,Google Scholar,,,
2015,"Teodosiev…, K.","K Kjossev, V Mutafchiyski, I Teodosiev…","K Kjossev, V Mutafchiyski, I Teodosiev… - Scripta Scientifica …, 2015 - journals.mu-varna.bg",Scripta Scientifica …,Ingested fork impacted in stomach-challenge for risky endoscopy or primary surgery,The ingestion of metallic (radiopaque) foreign bodies remains a common problem amongst prison population. A 34-year-old male prisoner swallowed a dinner fork in an attempt to …,https://journals.mu-varna.bg/index.php/ssm/article/view/1069,Google Scholar,,,
2015,"Ozcimen…, S.","S Goktas, Y Sakarya, M Ozcimen…","S Goktas, Y Sakarya, M Ozcimen… - European Journal of …, 2015 - dergipark.org.tr",European Journal of …,Cataract Due To Intrascleral Metallic Foreign Body,We report a case of a 32 year-old male with cataract in the right eye who has a history of explosive industrial accidents 25 years ago. Foreign body reflection was seen into the old …,https://dergipark.org.tr/en/pub/ejgm/issue/5284/71514,Google Scholar,,,
2015,"Jackson, J.","JB Alisangco, JC Jackson","JB Alisangco, JC Jackson - Medicine & Science in Sports & Exercise, 2015 - academia.edu",Medicine & Science in Sports & Exercise,"Looking For The Glass In Hand: 2105 May 28, 4: 15 PM-4: 35 PM","1. After failing to visualize the foreign body on exploration of wounds, an ultrasound was used to localize the foreign body. No other retained fragments were noted. 2. Ultrasound …",https://www.academia.edu/download/119031732/01.mss.0000478255.29623.5f20241020-1-8k6u76.pdf,Google Scholar,,,
2016,"Chen…, J.","JH Lin, J Fang, D Wang, HZ Chen…","JH Lin, J Fang, D Wang, HZ Chen… - Journal of Digestive …, 2016 - search.ebscohost.com",Journal of Digestive …,"Chinese expert consensus on the endoscopic management of foreign bodies in the upper gastrointestinal tract (2015, Shanghai, China).",The article focuses on a study regarding management of foreign bodies present in the upper gastrointestinal tract (UGIT). Topics discussed include significant number of cases of …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17512972&asa=N&AN=114712546&h=vdcuEdqUEruXYux9LwnSC1ZqaxU8EJIF2X45TBQzPVLmAyWDep4m%2BbZDHteG7lGu4%2Fvtf5u8Miicx276n7YlzQ%3D%3D&crl=c,Google Scholar,,,
2016,"Trás-os-Montes, S.","S r vicio de Neumología, CH de Trás-os-Montes","S r vicio de Neumología, CH de Trás-os-Montes - Letters to the Editor, 2016",Letters to the Editor,An Unusual Foreign Bod y,,,Google Scholar,,,
2016,"Yeom…, C.","CW Lim, MH Park, HJ Do, JS Yeom…","CW Lim, MH Park, HJ Do, JS Yeom… - Pediatric …, 2016 - synapse.koreamed.org",Pediatric …,"Factors associated with removal of impactted fishbone in children, suspected ingestion",Purpose The management and clinical course in pediatric patients who had ingested foreign body were investigated retrospectively to evaluate the frequency and factor associated with …,https://synapse.koreamed.org/articles/1080895,Google Scholar,,,
2016,"Sekine…, H.","H Matsuno, T Watanabe, S Tada, A Sekine…","H Matsuno, T Watanabe, S Tada, A Sekine… - Acta …, 2016 - hrcak.srce.hr",Acta …,Sonographic detection of subcutaneous foreign bodies in 3 cases,"Subcutaneous masses caused by foreign bodies are frequently encountered in daily practice. Although the majority of foreign bodies such as metals can be detected by radiography, …",https://hrcak.srce.hr/clanak/256743,Google Scholar,,,
2017,"Carter…, T.","T Bayisa, A Bekele, E Kassa, C Sherman, J Carter…","T Bayisa, A Bekele, E Kassa, C Sherman, J Carter… - Ethiop Med …, 2017 - researchgate.net",Ethiop Med …,A young woman with an unusual foreign body aspiration,Foreign body aspiration is a worldwide health problem and often associated with life threatening complications. A high index of suspicion and careful history taking are important as …,https://www.researchgate.net/profile/Otto-Schoch/publication/320166053_A_YOUNG_WOMAN_WITH_AN_UNUSUAL_FOREIGN_BODY_ASPIRATION/links/59d20260a6fdcc181ad5de0b/A-YOUNG-WOMAN-WITH-AN-UNUSUAL-FOREIGN-BODY-ASPIRATION.pdf,Google Scholar,,,
2017,"Kolahdouzan, M.","M Hosseinpour, M Kolahdouzan","M Hosseinpour, M Kolahdouzan - Trauma Monthly, 2017 - traumamon.com",Trauma Monthly,Needle in the Lung: A Difficult Case of a Pulmonary Foreign Body,"Introduction: Foreign body aspiration is an emergency condition in children, which can lead to death. Most these foreign bodies are usually removed by bronchoscopy. Straight needle …",https://www.traumamon.com/article_100077.html,Google Scholar,,,
2017,"Li, C.","C Lu, J Gong, Z Shen, C Yu, Y Li","C Lu, J Gong, Z Shen, C Yu, Y Li - Int J Clin Exp Med, 2017 - e-century.us",Int J Clin Exp Med,Case Report Endovascular stent-graft treatment in aortoesophageal fistula caused by foreign bodies,Background: Aortoesophageal fistula (AEF) caused by the ingestion of foreignbodiesis rare and often life threatening. We aim to summarize effective measures to improve the curative …,https://e-century.us/files/ijcem/10/9/ijcem0053198.pdf,Google Scholar,,,
2017,"Ramadan, O.",O Ramadan,"O Ramadan - Otolaryngol Open J, 2017 - academia.edu",Otolaryngol Open J,Migratory foreign bod-ies in the neck: Possible role for en-doscopic surgery,Foreign body ingestion is a common ENT emergency case among the pediatric population. Most of the ingested foreign bodies pass naturally through the gastrointestinal (GI) tract …,https://www.academia.edu/download/58881467/Migratory-Foreign-Bodies-in-the-Neck-Possible-Role-for-Endoscopic-Surgery-OTLOJ-3-138.pdf,Google Scholar,,,
2017,"Zheng, Q.","Q Yao, H Wu, B Xiong, P Han, C Zheng","Q Yao, H Wu, B Xiong, P Han, C Zheng - Journal of Huazhong University …, 2017 - Springer",Journal of Huazhong University …,A new method of 3-dimensional localization of intraocular foreign bodies using CT imaging: A role of optic nerve,Computed tomography (CT) is considered the most sensitive method for the detection of intraocular foreign bodies (IOFBs). The purpose of this study was to evaluate a new method of 3-…,https://link.springer.com/article/10.1007/s11596-017-1703-2,Google Scholar,,,
2017,"Swaroop, J.","JF Bean, M Swaroop","JF Bean, M Swaroop - Vignettes in Patient Safety-Volume 2, 2017 - books.google.com",Vignettes in Patient Safety-Volume 2,Retained Foreign Body,"Retained foreign bodies after surgeries or procedures are a rare complication with great consequences. The most commonly retained surgical items are guidewires, surgical sponges, …",https://books.google.com/books?hl=en&lr=&id=xGqQDwAAQBAJ&oi=fnd&pg=PA105&dq=(%22foreign+obj*%22+OR+%22foreign+bod*%22)&ots=m6NKbtCqVN&sig=wluUUqiZcXKMK9hSZPp6-ITLQrc,Google Scholar,,,
2017,"XU, L.","L LU, H WU, W XU","L LU, H WU, W XU - The Journal of Practical Medicine, 2017 - pesquisa.bvsalud.org",The Journal of Practical Medicine,Imaging examination and diagnosis of airway foreign body in children,Objective To evaluate the value of imaging examination and diagnosis of airway foreign body in children. Methods 218 of airway foreign bodies confirmed by bronchoscopy were …,https://pesquisa.bvsalud.org/portal/resource/pt/wpr-617106,Google Scholar,,,
2017,"Liu, C.","C Guo, Y Yuan, L Liu","C Guo, Y Yuan, L Liu - Indian Journal of Surgery, 2017 - Springer",Indian Journal of Surgery,A broken fruit knife: half in the bronchus and half in the duodenum,"Foreign bodies in the airway, as well as those in the upper gastrointestinal tract, are life-threatening conditions and require prompt intervention. We report on a 44-year-old male patient …",https://link.springer.com/article/10.1007/s12262-017-1600-8,Google Scholar,,,
2017,"Lobetti, E.","E Lindquist, R Lobetti","E Lindquist, R Lobetti - Adv Small Anim Med Surg, 2017 - researchgate.net",Adv Small Anim Med Surg,Gastrointestinal disease in cats and dogs with gastrointestinal foreign bodies,Gastrointestinal Disease in Cats and Dogs with Gastrointestinal Foreign Bodies Page 1 This article appeared in a journal published by Elsevier. The attached copy is furnished to the …,https://www.researchgate.net/profile/Remo-Lobetti/publication/316728495_Gastrointestinal_Disease_in_Cats_and_Dogs_with_Gastrointestinal_Foreign_Bodies/links/5b40900ca6fdccbcf906ccf3/Gastrointestinal-Disease-in-Cats-and-Dogs-with-Gastrointestinal-Foreign-Bodies.pdf,Google Scholar,,,
2018,"Gürsoy, S.","S Yazgan, B Yoldaş, S Gürsoy","S Yazgan, B Yoldaş, S Gürsoy - Respiratory Case Reports, 2018 - search.ebscohost.com",Respiratory Case Reports,Video-Assisted Thoracoscopic Removal of a Mysterious Foreign Body Causing Pneumothorax.,The removal of foreign bodies from the pleural cavity via video-assisted thoracoscopic surgery (VATS) has seldom been reported in the literature. This is a description of the case of a 31-…,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=21472475&AN=130477428&h=BDYt1kwIUaFGEsVd26M4KNgiodLgeoxhti4lkPbBopLqxDuV%2B1ezBrqKSqrUvlS%2BJEPLejzUKs%2BdzZhlj8eWbw%3D%3D&crl=c,Google Scholar,,,
2018,"Khan…, S.","S Andrawes, M Daoud, H Khan…","S Andrawes, M Daoud, H Khan… - Official journal of the …, 2018 - journals.lww.com",Official journal of the …,Endoscopic Neck Dissection Utilizing Peroral Endoscopic Myotomy (POEM) for Removal of Extraluminal Neck Foreign Body Migrated Out From the Upper Esophagus …,Introduction: Current radiologic and endoscopic studies for pancreatic cystic lesions have known poor sensitivity and accuracy for distinguishing any particular cystic lesion. The current …,https://journals.lww.com/ajg/fulltext/2018/10001/Endoscopic_Neck_Dissection_Utilizing_Peroral.1699.aspx,Google Scholar,,,
2018,"Narasimhan…, A.","A Johnson, R Sridhar, R Narasimhan…","A Johnson, R Sridhar, R Narasimhan… - Journal of Association …, 2018 - journals.lww.com",Journal of Association …,The Maleficent Nut in Bronchus-Elusive Foreign Body Retrieved with Flexible Bronchoscopy using Cryoprobe and Forceps,"Foreign body aspiration (FBA) is relatively rare in adults. In non life threatening aspiration, patients seldom recall the history of aspiration and the clinical presentation is mostly subtle …",https://journals.lww.com/jatn/abstract/2018/01010/the_maleficent_nut_in_bronchus___elusive_foreign.10.aspx,Google Scholar,,,
2018,"Sibhat…, D.","D Jebessa, F Lemma, T Kabeta, B Sibhat…","D Jebessa, F Lemma, T Kabeta, B Sibhat… - Ethiopian Veterinary …, 2018 - ajol.info",Ethiopian Veterinary …,"Survey on indigestible foreign bodies in the rumen and reticulum of cattle slaughtered at Nekemte municipal abattoir, Nekemte, Ethiopia","A cross sectional study was conducted on cattle slaughtered at Nekemte Municipal Abattoir, Nekemte, East Wollega, Ethiopia from November 2015 to April 2016. The objectives of this …",https://www.ajol.info/index.php/evj/article/view/177373,Google Scholar,,,
2018,"Rausa…, D.","D Ferrari, A Aiolfi, G Bonitta, CG Riva, E Rausa…","D Ferrari, A Aiolfi, G Bonitta, CG Riva, E Rausa… - World Journal of …, 2018 - Springer",World Journal of …,Flexible versus rigid endoscopy in the management of esophageal foreign body impaction: systematic review and meta-analysis,Background Foreign body (FB) impaction accounts for 4% of emergency endoscopies in clinical practice. Flexible endoscopy (FE) is recommended as the first-line therapeutic option …,https://link.springer.com/article/10.1186/s13017-018-0203-4,Google Scholar,,,
2019,"Olawoyin…, A.","AO Olatunji-Akioye, CM Olawoyin…","AO Olatunji-Akioye, CM Olawoyin… - Animal Research …, 2019 - ajol.info",Animal Research …,Incidence and consequence of surgical removal of gastric foreign bodies in West African Dwarf goats in Ibadan,Gastric Foreign Body (GFB) in West African Dwarf (WAD) goats increased in cases presented to Ruminant section of a tertiary Veterinary institution. This study evaluates incidence and …,https://www.ajol.info/index.php/ari/article/view/192165,Google Scholar,,,
2019,"El-Bassiouny, D.","D El-Bassiouny, N El-Bassiouny","D El-Bassiouny, N El-Bassiouny - Management of Environmental …, 2019 - emerald.com",Management of Environmental …,"Diversity, corporate governance and CSR reporting: A comparative analysis between top-listed firms in Egypt, Germany and the USA","Purpose Taken from an institutional theory perspective, the purpose of this paper is to explore the effects of organizational-level factors, specifically diversity and corporate governance …",https://www.emerald.com/insight/content/doi/10.1108/MEQ-12-2017-0150/full/html,Google Scholar,,,
2019,"Yoon…, S.","SA Hwang, BC Kang, SJ Yoon…","SA Hwang, BC Kang, SJ Yoon… - Quintessence …, 2019 - search.ebscohost.com",Quintessence …,Unexpected radiopaque foreign bodies encountered in dental practice.,Objectives: The purpose of the present study was to determine the presence of radiopaque foreign bodies on oral and maxillofacial radiographs and classify them. Method and Materials…,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00336572&AN=134365879&h=nnJsoF30W9k3FpK%2Fj8NXDDqdy1Wykt8oJBW2mD%2ByCZCCsxJ6c3bqeUIPq1JBw4Cj3xSqHu97Ni2K3bU7LhSSiw%3D%3D&crl=c,Google Scholar,,,
2019,"Pan, Y.","Y Ma, A Jiao, X Rao, C Meng, Y Pan","Y Ma, A Jiao, X Rao, C Meng, Y Pan - International Journal of Clinical …, 2019 - e-century.us",International Journal of Clinical …,Different types of grasping forceps in treatment of a bronchial foreign body: a comparative study in 1026 children,Objective: The goal of this study was to retrospectively analyze the characteristics of bronchial foreign bodies in children and compare utilization of different types of grasping forceps for …,https://e-century.us/files/ijcem/12/1/ijcem0082549.pdf,Google Scholar,,,
2019,"Arslan, D.","D Altay, D Arslan","D Altay, D Arslan - Journal of Clinical Practice and Research, 2019 - jcpres.com",Journal of Clinical Practice and Research,Most frequent esophageal foreign bodies ingested by children,"Objective: The presence of a foreign body in the esophagus represents one of the gastroenterological emergencies. In this study, we aimed to evaluate retrospectively foreign bodies …",https://jcpres.com/jvi.aspx?pdir=cpr&plng=eng&un=EMJ-10693&look4=,Google Scholar,,,
2020,"Sunam, H.","H Yildiran, GS Sunam","H Yildiran, GS Sunam - Current Thoracic Surgery, 2020 - cts.tgcd.org.tr",Current Thoracic Surgery,Rare and unusual tracheobronchial foreign bodies,Materials and Methods: Patients who were admitted to our outpatient clinic or who were referred by other clinics for foreign body aspiration between January 2012 and January 2017 …,https://cts.tgcd.org.tr/abstract.php?id=123,Google Scholar,,,
