id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
435,2023,"Niset, A.","Niset, Alexandre; Baert, Jérome; Dupriez, Florence",Pediatric Emergency Care,,PubMed,10.1097/pec.0000000000002997,,Point-Of-Care Ultrasound For The Diagnosis Of Pediatric Foreign Body Ingestion: A Narrative Review And Illustrative Case Report,"Purpose: Foreign Body Ingestion (Fbi) Is A Frequent Concern In Emergency Departments. Clinical Guidelines Recommend Performing Plain X-Rays As The Primary  Modality Of Diagnosis. Although Point-Of-Care Ultrasound (Pocus) Has Increasingly  Been Integrated Into The Daily Practice Of Emergency Medicine, It Has Been Poorly  Investigated In The Diagnostic Approach For Fbi.This Review Aims To Highlight The  Current State Of Pocus Use For Pediatric Fbi.The Following Research Question Was  Considered In This Narrative Review: Is Pocus Useful For Fbi Management? Methods:  A Literature Search Was Conducted To Identify Articles Reporting Pocus Use For  The Management Of Fbi. All Articles Were Assessed For Quality By 2 Reviewers.  Main Results: The 14 Selected Articles Reported 52 Fbi Cases In Which Pocus  Successfully Identified And Located The Ingested Fb. Point-Of-Care Ultrasound Was  Used Either As The Primary Imaging Technique Or After Positive Or Negative X-Ray  Findings. In 5 Cases (9.6%), Pocus Was The Only Modality Used For The Diagnosis.  Of These Cases, 3 (60%) Underwent A Successful Procedure To Remove The Fb And 2  (40%) Received Conservative Treatment Without Complications. Conclusions: This  Review Suggests That Pocus Might Be A Reliable Modality For The Initial  Management Of Fbi. Pocus Can Locate, Identify, And Evaluate The Size Of The Fb In  A Wide Range Of Materials And Gastrointestinal Locations. Point-Of-Care  Ultrasound Could Eventually Become The Go-To Modality In The Case Of Radiolucent  Fb, Thus Avoiding The Use Of Radiation. Further Studies Are Nevertheless Required  To Validate Pocus Use For Fbi Management.",,False,,,,,,,,False,
437,2023,"Raju, R.","Raju, Rajkiran S.; Raj, A. John Michael; Shubha, A. M.",Pediatric Surgery International,,PubMed,10.1007/s00383-022-05360-3,,Impacted Esophageal Foreign Bodies In Children,"Purpose: Foreign Body (Fb) Ingestion In Children Has Varied Presentation. When Unwitnessed, It Poses Therapeutic And Diagnostic Challenges Especially In The  Presence Of Pre-Existing Anatomical Pathology. We Aim To Analyze The Clinical  Course, Management, And Outcome Of Children With Impacted Esophageal Fbs.  Methods: Retrospective Chart Review (Jan 2000-Feb 2018) Recruiting Children With  Impacted Esophageal Fbs. Fbs In Cricopharynx And Those That Moved To Stomach Were  Excluded. Investigations/Management Were Based On Underlying Anatomical  Pathology, Duration Of Impaction, And Difficult Fbs. Clinical Details,  Management, And Outcomes Were Collated. Results: Of 86 Children, N1 = 31 Had  Identifiable Predisposing Anatomic Pathology And N2 = 55 Had Impactions In Normal  Esophagus Or Difficult Fbs. N1 Group Presented Early (42 Months), Had Recurrent  Impactions (1-6), And Needed Multiple Dilatations (0-8) And Longer Follow-Up (Avg  35 Months). Food Matter Was Commonest Impaction. Many Had Persistent Symptoms. N2  Group Had Commonly Coin Impactions And Strictures Developed In Long Standing Or  Corrosive Fbs. Most Were Asymptomatic. Conclusion: Abnormal Esophageal Anatomy  Predisposes To Impaction With Organic Food Bolus. Age Of Presentation Is Earlier  With Recurrent Impactions Requiring Multiple Dilatations/Surgery And Longer  Follow-Up. Metallic Fbs Commonly Impact In Normal Esophagus And Are Often  Innocuous. Atypical/Multiple Fbs May Mirror An Underlying Psychiatric Illness.",,False,,True,3.0,False,,Unclear,Could well include intentional foreign object ingestion,False,
439,2023,"Rezazadeh, A.","Rezazadeh, Amin; Khanghah, Ali Samady; Mousazadeh, Siamak; Noori, Farzad",Annals Of Medicine And Surgery (2012),,PubMed,10.1097/ms9.0000000000000377,,Removing 216 Sharp Metal Foreign Objects From The Digestive Tract Of A 30-Year-Old Male: Case Report,"Introduction And Importance: Foreign Body (Fb) Ingestion And Its Complications Are Abundant In Emergency Departments. This Potentially Severe Problem Had A Peak  Incidence In Children Aged 6 Months To 6 Years. Intentional Adult Cases Are  Voluntary And More Common In Prisoners And People With Psychiatric Problems.  However, Most Patients (90%) Remain Asymptomatic, And These Pass Through The Body  Spontaneously. Case Presentation: The Authors Report A Case Of Surgically  Removing Plenteous Sharp-Pointed Metallic Foreign Bodies Ingested By A Young Male  Deaf-Mute Bipolar Schizoaffective Patient From His Stomach, Intestine, And  Rectum. Furthermore, The Authors Have Reviewed The Available Literature For  Similar Cases. Clinical Discussion: Less Than 1% Of Patients Need Surgical  Removal, 10-20% Need To Be Taken Out Endoscopically, And The Remaining Pass  Spontaneously. Plain Radiography Is The Most Available Imaging Modality Detecting  The Number, Material, And Estimated Place Of The Alimentary Canal Trapped.  Conclusion: For The Risk Of Perforation, Migration, And Peritonitis, Surgery Is  Indicated In Such Situations.",,False,,,,,,,,False,
441,2023,"Mezouari, F.","Mezouari F.A., Haddad F., El Rhaoussi F.Z., Hassani M.T.J., Hliwa W., Bellabah A., Badre W.",Turkish Journal Of Gastroenterology,,Embase,10.5152/tjg.2023.101123,,Ingestion Of Foreign Bodies In Prisons: How Should They Be Managed: Study Of 13 Cases,"Background/Aims: Intentional Ingestion Of Foreign Bodies Is A Frequent Occurrence In The Prison Environment. The Aim Of This Study Is To Describe The Profile Of Inmates Who Have Ingested Foreign Bodies, To Determine The Nature Of These Foreign Bodies And To Specify Their Management. Materials And Methods: Our Retrospective And Descriptive Study Focused' On 13 Inmates Having Ingested' 47 Foreign Bodies And Who Consulted The Emergency Of Our Department Over A 5-Year Period From January 2018 To July 2023. Results: The Study Population Consisted Of 12 Men And One Woman With An Average Age Of 32 Years (24 Years-47 Years). Foreign Bodies Ingested By Inmates Were Dominated By Batteries (59.52%) Followed By Lighters (19.04%). The Majoritý Of Foreign Bodies Were, At The Time Of Discovery, Located Mainly In The Stomach (6 Cases) And Colon (4 Cases). Ingestion Resulted In Epigastric Pain (3 Cases), Externalized Gastrointestinal Bleeding With Epigastralgia (2 Cases), And No Symptoms (8 Cases). Of The 13 Cases Of Foreign Body Ingestion, 6 Patients Underwent Endoscopic Extraction In The Gastroenterology Department. Extraction Was By Diathermic Loop, Dormia Loop And Endoscopic Basket. Successful Extraction Was Achieved In 4 Cases (66.66%), And Unsuccessful Extraction In 2 Cases (33.33%). Only One Inmate Required Surgical Extraction, And In 6 Patients The Elimination Of Foreign Bodies In The Stool Was Spontaneous Under Medical Supervision. Conclusion: Foreign Body Ingestion Is Frequent And Voluntary In The Prison Environment. It Is Characterized By The Multiplicity Of Foreign Bodies. The Rate Of Successful Extraction Of Ingested Foreign Bodies In Our Practice Is Satisfactory, Requiring An Experienced Endoscopist To Perform The Extraction Without Complications And Avoid Recourse To Surgery. Education Of The Prison Population Is Important, And Psychological Follow-Up Is Essential.",,False,,,,,,,,False,
442,2023,"Kaazan, P.","Kaazan, P.; Seow, W.; Tan, Z.; Logan, H.; Philpott, H.; Huynh, D.; Warren, N.; Mcivor, C.; Holtmann, G.; Clark, S. R.; Tse, E.",Australasian Psychiatry : Bulletin Of Royal Australian And New Zealand College Of Psychiatrists,,PubMed,10.1177/10398562231189431,,Deliberate Foreign Body Ingestion In Patients With Underlying Mental Illness: A Retrospective Multicentre Study,"Objective: Deliberate Foreign Body Ingestion (Dfbi) Is Characterised By Recurrent Presentations Among Patients With Mental Health Conditions, Intellectual  Disabilities And In Prisoners. We Aimed To Profile The Characteristics And  Evaluate The Care Of Such Patients In This Study. Methods: Adult Patients With An  Endoscopic Record Of Attempted Foreign Body Retrieval Between January 2013 And  September 2020 Were Identified At Three Australian Hospitals. Those With A  Documented Mental Health Diagnosis Were Included And Their Standard Medical  Records Reviewed. Presentation History, Demographics, Comorbidities And  Endoscopic Findings Were Recorded And Described. Results: A Total Of 166  Admissions Were Accounted For By 35 Patients, 2/3 Of Which Had Borderline  Personality Disorder (Bpd). Repetitive Presentations Occurred In More Than Half  Of The Cohort. There Was An Increased Trend Of Hospital Admissions Throughout The  Years. At Least Half Of The Cohort Had A Documented Mental Health Review During  Their Admission. An Average Of 3.3 (2.9) Foreign Bodies Were Ingested Per Single  Episode. Endoscopic Intervention Was Performed In 76.5% Of Incidents. The  Combined Length Of Stay For All Patients Was 680 Days. Conclusion: Deliberate  Foreign Body Ingestion In Mental Health Patients Is A Common, Recurring And  Challenging Problem That Is Increasing In Frequency And Requires Collaborative  Research To Further Guide Holistic Management.",,False,,,,,,,,False,
443,2023,"Divsalar, P.",Divsalar P.; Mousa S.H.; Abbasi M.H.,International Journal Of High Risk Behaviors And Addiction,,SCOPUS,10.5812/ijhrba-134720,,Repeated Intentional Swallowing Of Foreign Objects By An Adolescent Girl Case Report,"Introduction: Intentional Swallowing Of Foreign Objects Is A Relatively Rare Psychopathological Behavior. Adolescents And Young Adults May Carry Out This Act To Hurt Themselves Or Even Suicide. Often, Most Reports Related To Deliberate Swallowing Are Typically Either Surgical Or Gastrointestinal And Rarely Are Found In Psychiatric Articles; More Often, The Swallowed Foreign Objects (80 - 90%) Are Disposed Of Spontaneously, And 10 - 20% Of Them Require Endoscopy For More Study And Less Than 1% Of Them Need Surgery To Be Removed Or Its Complications. Case Presentation: The Presented Patient Is A 17-Year-Old Girl Admitted To The Psychosomatic Ward Of Afzalipour Hospital Due To Intentional Poisoning. During The Year Before Her Admission, On Three Separate Occasions, She Detached The Knife Blade From Its Haft And Swallowed It. She Underwent Laparotomy Twice, One Time For Sigmoid Tearing And Damage To The Left Ovary, To Remove The Knife And Regeneration Of The Left Ovary And Sigmoid, And Another Time To Remove The Knife In Order Not To Cause Damage To Her Intestines. To Our Knowledge, This Is The First Reported Case In The World In Which An Ovary Has Been Damaged. Further Investigation Into Her Background Shows Some Extent Of Privation Due To Her Family’S Long-Term Economic Problems And Instability; Moreover, Sexual And Physical Abuse Was Also Confirmed. The Patient Was Prescribed Clozapine, Which Decreased Her Suicidal Behavior And Attempts Noticeably. Conclusions: Swallowing Foreign Bodies In This Patient Is Interpreted As Both Self-Punishment And Punishing Others (Those Who Thought They Were Hurt Or May Be Blamed For Their Despair Or Rejection). Intentional Swallowing Of Foreign Objects Behavior Is More Resistant Than Other Self-Harming Activities And May Have A Worse Prognosis. Swallowing Foreign Objects Requires A Sophisticated Process That, If Not Correctly Managed, May Result In Serious Complications; Therefore, Appropriate Psychiatric Counseling And Supportive Treatment Are Necessary For These Patients. Specific To This Patient Eliminating The Effects Of Suicide And Reaching Medical Stability With A Short Admission Was Necessary. Her Suicidal Behavior And Attempts Decreased Significantly After Starting Clozapine Treatment. Therefore, Clozapine Treatment Is Recommended For Patients With Suicidal Behavior And Self-Harm. © 2023, Brieflands. All Rights Reserved.",,False,,,,,,,,False,
444,2023,"Jaini, P.","Jaini, Paresh A.; Haliburton, James; Rush, A. John",Journal Of Psychiatric Practice,,PubMed,10.1097/pra.0000000000000694,,Management Challenges Of Recurrent Foreign Body Ingestions In A Psychiatric Patient: A Case Report,"Intentional Foreign Body Ingestions (Fbis) Are Commonly Seen In Adult Patients With Intellectual Disabilities, Substance Use, Severe Psychiatric Conditions, Or  External Motivations, But These Cases Are Rarely Reported In The Psychiatric  Literature. We Present The Case Of A Patient With An Extensive History Of Fbis  And Suicide Attempts And A Multitude Of Psychiatric Diagnoses Including  Borderline Personality Disorder, Major Depressive Disorder, Posttraumatic Stress  Disorder From Significant Abuse In Foster Care, Obsessive-Compulsive Disorder,  And Pica. During The Single Hospitalization Described In This Report, She Had  Multiple Incidents Of Self-Harm, Aggression, And 9 Fbis. A Multidisciplinary Team  Involving Psychiatry, Emergency Medicine, Gastroenterology, Surgery, Internal  Medicine, Nursing, Social Work, Behavioral Health Technicians, Case Management,  Chaplain, The Legal Department, Police Officers, And Hospital Maintenance Was  Necessary For Care Coordination. Interventions Included 8 Endoscopies And An  Abdominal Surgery To Retrieve Swallowed Foreign Bodies, Pain Management,  Psychopharmacological And Psychotherapeutic Interventions For Agitation, And  Environmental Precautions To Minimize The Risk Of Ingestion. Ultimately, To  Prevent Further Trauma And Limit Additional Opportunities For Fbi, A  Collaborative Decision Was Made With The Patient To Discharge Her To Her Home  With Outpatient Psychologist And Psychiatrist Support. This Case Describes The  Complexities Of Hospital Management Of A Patient With Intentional Recurrent Fbi,  Highlighting The Importance Of A Critical Assessment Of Risk Versus Benefit For  Prolonging Hospitalization. Development Of Practical Management Protocols And  Risk Assessments For Continued Hospitalization Is Necessary For Patients With  Recurrent Intentional Fbis.",,False,,,,,,,,False,
445,2023,"Jones, B.","Jones, B; Roskilly, A",Gut,,Web of Science,10.1136/gutjnl-2023-bsg.307,,Management Of Deliberate Foreign Body Ingestion Requiring Endoscopic Retrieval,,,False,,,,,,,,False,
447,2023,"Alli-Balogun, O.",Alli-Balogun O.; Singh G.; Korenis P.,Primary Care Companion For Cns Disorders,,SCOPUS,10.4088/pcc.22cr03287,,Intentional Foreign Body Ingestion In A Patient With Borderline Personality Disorder And Other Comorbidities,[No Abstract Available],,False,,,,,,,,False,
450,2023,"Calini, G.","Calini, Giacomo; Ortolan, Naima; Battistella, Claudio; Marino, Marco; Bresadola, Vittorio; Terrosu, Giovanni",European Journal Of Gastroenterology & Hepatology,,PubMed,10.1097/meg.0000000000002602,,Endoscopic Failure For Foreign Body Ingestion And Food Bolus Impaction In The Upper Gastrointestinal Tract: An Updated Analysis In A European Tertiary Care  Hospital,"Objective: Harmfulness Of Foreign Body Ingestion And Food Bolus Impaction (Fbis) Varies According To Geographical Area, Population, Habits, And Diet. Therefore,  Studies May Not Draw Generalizable Conclusions. Furthermore, Data Regarding Fbis  Management In Europe Are Limited And Outdated. This Study Aimed To Analyze The  Endoscopic Management And Outcomes Of Fbis In An Italian Tertiary Care Hospital  To Identify Risk Factors For Endoscopic Failure. Methods: We Retrospectively  Reviewed Patients Who Underwent Upper Gastrointestinal Endoscopy For Fbis Between  2007 And 2017. Baseline, Clinical, Fbis, And Endoscopic Characteristics And  Outcomes Were Collected And Reported Using Descriptive Statistics And Logistic  Regression Analyses. Results: Of The 381 Endoscopies For Fbis, 288 (75.5%) Were  Emergent Endoscopy And 135 (35,4%) Included Underlying Upper Gastrointestinal  Conditions. The Study Population Included 44 Pediatric Patients (11.5%), 54  Prisoners (15.8%), And 283 Adults (74.2%). The Most Common Type And Location Of  Fbis Were Food Boluses (52.9%) And Upper Esophagus (36.5%), Respectively. While  Eight Patients (2.1%) Developed Major Adverse Events Requiring Hospital  Admission, The Remainder (97.9%) Were Discharged After Observation. No Mortality  Occurred. Endoscopic Success Was Achieved In 263 Of 286 (91.9%) Verified Fbis  Endoscopies. Endoscopic Failure (8.04%) Was Associated With Age, Bone, Disk  Battery, Intentional Ingestion, Razor Blade, Prisoners, And Stomach In The  Univariate Analysis. Multivariate Logistic Regression Revealed That Intentional  Ingestion Was Associated With Endoscopic Failure (Odds Ratio: 7.31; 95%  Confidence Interval = 2.06-25.99; P  = 0.002). Conclusion: Endoscopy For Fbis Is  Safe And Successful, With Low Hospital Admission Rate In Children, Prisoners, And  Adults. Intentional Ingestion Is A Risk Factor Of Endoscopic Failure.",,False,,,,,,,,False,
451,2023,"Chauhan, A.","Chauhan, Ashish; Bodh, Vishal; Sharma, Rajesh; Sharma, Brij",Middle East Journal Of Digestive Diseases,,PubMed,10.34172/mejdd.2023.321,,Intentional Ingestion Of A Foreign Body - Why We Need Psychiatrists,"Foreign Body Ingestions Are Common Medical Emergencies. In Adults, Foreign Body Ingestions Occur In Patients With Psychiatric Disorders And Prison Inmates. A  Majority (80-90%) Of Foreign Bodies Pass Spontaneously. Endoscopic And Surgical  Interventions Are Required In Only 10-20% And 1%, Respectively. A Plain  Radiograph May Be The Only Diagnostic Test Required. A Computed Tomography Scan  May Be Needed When A Perforation Is Suspected. Food Boluses Are The Most Commonly  Ingested Foreign Bodies. Snare And Rat Tooth Forceps Are Frequently Used  Accessories For The Retrieval Of Foreign Bodies. The Focus Of The Emergency Team  Is On The Management Of An Acute Case Of Foreign Body Ingestion, And The  Psychiatric Aspect Of The Disease Gets Often Ignored.",,False,,,,,,,,False,
454,2023,"Estrada, T.","Estrada, Tm; Mejía, Mrf; Losada, Gcl; Niño-Serna, Lf",Andes Pediatrica,,Web of Science,10.32641/andespediatr.v94i2.4464,,Upper Gastrointestinal Endoscopy In Pediatrics: Experience Of A High Complexity Center In Latin-America,"Objective: To Characterize Pediatric Patients Undergoing Esophagogastroduodenoscopy (Egd) In A High-Complexity Hospital. Patients And Method: Retrospective Study In Patients Under 14 Years Of Age Who Underwent Egd At The Hospital San Vicente Fundacion De Medellin, Between January 2019 And June 2020. The Following Sociodemographic Characteristics Were Evaluated: Age, Sex, Type Of Health Insurance, Place Of Origin, Service Where The Procedure Was Indicated, Indications For En-Doscopy, Type Of Care, Purpose Of The Procedure, Endoscopic Findings, Endoscopic Intervention, Complications Associated With The Procedure Or Anesthesia, And Relevance Of The Procedure. Results: 466 Patients Who Underwent 552 Endoscopies Were Included. Fifty-Seven Percent Of The Patients Were Male. In Diagnostic Egd, The Main Indications Were Abdominal Pain (23%) And Upper Gas-Trointestinal Bleeding (17%). In Therapeutic Egd, The Most Frequently Performed Procedures Were Percutaneous Endoscopic Gastrostomy (41%), Foreign Body Removal (27%), And Esophageal Dila-Tion (24%). The Complication Rate Related To The Procedure Was 0.5% And In Relation To Anesthesia Was 0.7%. Conclusions: Egd In Pediatric Patients Is An Effective And Safe Tool If Performed With An Appropriate Indication. One-Third Of Therapeutic Egd Could Be Avoided From Primary Prevention.",,False,,,,,,,,False,
456,2023,"Hardy, J.","Hardy, John C.; Ashcroft, Cody; Kay, Carl; Liane, Billy-Joe; Horn, Christian",Cureus,,PubMed,10.7759/cureus.43093,,Loose Screws: Removal Of Foreign Bodies From The Lower Gastrointestinal Tract,"While Both The American Society For Gastrointestinal Endoscopy (Asge) And The European Society Of Gastrointestinal Endoscopy (Esge) Have Released Guidelines On  The Management Of Ingested Foreign Bodies In The Upper Gastrointestinal (Gi)  Tract, Neither Has Addressed Indications Or Techniques For Endoscopic Removal Of  Foreign Bodies In The Lower Gi Tract, Perhaps Due To The High Likelihood Of  Foreign Body Passage Once The Foreign Body Has Reached The Lower Gi Tract. We  Present The Case Of A 45-Year-Old Woman Presenting To The Emergency Department  Following The Intentional Ingestion Of Multiple Screws And Nails, Complaining Of  Acute Abdominal Pain And Nausea. Imaging Revealed Four Nails In The Colon And Two  Adjacent Screws In The Distal Small Bowel. In The Absence Of Signs Of Acute  Obstruction Or Bowel Perforation, She Was Admitted For Expectant Management But  Subsequently Required Endoscopic Removal Of Two Retained Screws In The Lower Gi  Tract.",,False,,,,,,,,False,
460,2023,"Das, S.","Das, Siddharth Sankar; Krishnan, Suhasini; Mandhane, Nisha K.; Shalak, Husni S.",Cureus,,PubMed,10.7759/cureus.37677,,Intentional Ingestion Of Foreign Bodies: A Physician'S Agony,"Intentional Foreign Body Ingestion Is The Phenomenon Wherein One Swallows A Non-Digestible Object With The Intent To Cause Self-Injury. It Is Intentional In  Adult Patients With A Positive Psychiatric History And Can Be A Recurrent Issue.  Although The Incidence Of This Condition Is Increasing, There Are Few Existing  Articles On The Subject That Highlight Its Importance. This Case Report Aims To  Present A Unique Patient Encounter To Emphasize The Multispecialty Approach  Required For Management And Provide An Overview Of The Literature Available On  The Subject Regarding Types Of Objects Swallowed, Selection Of Appropriate  Imaging Modalities, And Plans Of Management.",,False,,,,,,,,False,
461,2023,"Ishak, A.","Ishak A., Smith J., Nanda A., Dimaggio F., Thomas R.",British Journal Of Surgery,,Embase,10.1093/bjs/znad348.067,,"Hard To Swallow, Hard To Treat","Background: Deliberate Foreign Body Ingestion (Dfbi) Presents Unique Medical, Surgical, And Ethical Challenges. Often, Patients With Psychiatric Conditions Repeatedly Ingest Foreign Bodies, Leading To Frequent Emergency Department Visits. Standardised Management Guidelines Are Lacking, Resulting In High Hospitalisation Rates, Interventions, And Complications. This Study Focuses On Recent Dfbi Cases At Our Institution, Providing Insights Into This Complex Condition And Holistic Management. Methods: Patients Admitted By The Surgical Team At Croydon University Hospital Between 2017 And 2023 With Dfbi Were Included. Data On Demographics, Clinical Presentation, Investigations, And Management Were Collected. Complications, Hospitalisations, Interventions, And Cost Analysis Were Recorded. Results: Eight Patients Presented A Total Of 52 Times. The Incidence Of Dfbi Increased Over Time. Swallowed Objects Included Knives, Needles, Magnets, Glass, Batteries, Pencils, Gloves, Lighters, And Screws. Each Patient Underwent An Average Of 21 X-Rays, 2 Ct Scans, And 3 Ogds. Eleven Laparotomies And 1 Laparoscopy Were Performed. The Average Length Of Stay Was 44.5 Days. Complications Included Pulmonary Embolism, Pneumonia, Enterotomy, Hernia, And Infection. The Average Cost Per Patient Was £30,866.25. Conclusions: Dfbi Poses A Significant Burden On Healthcare Systems. Patients Face Radiation Exposure And Repeated Invasive Interventions, Necessitating A Comprehensive Approach. Understanding Dfbi From A Biopsychosocial And Ethical Perspective Is Crucial. A Multidisciplinary Team Should Be Involved Early, With Clear Goals. Further Research Is Needed For Optimal Management Pathways.",,False,,,,,,,,False,
465,2024,"Pham, S.","Pham, Serena T.; Sakai, Osamu; Andreu-Arasa, V. Carlota",Neuroradiology,,PubMed,10.1007/s00234-024-03348-5,,Imaging Approach To Ingested Foreign Bodies In The Neck,"Foreign Body Ingestion Is A Common Clinical Occurrence Worldwide, With High Morbidity In The Pediatric Population And In Adult Patients With Intentional  Attempts. Coins And Button Battery Ingestions Are More Common Among Children.  Bone Impaction And Swallowed Dentures Are Usually Seen In Older Adults. While  Most Ingested Foreign Bodies Pass Through The Gastrointestinal Tract  Spontaneously With No Complications, Some Require Endoscopic And/Or Surgical  Intervention. Complications Such As Pharyngoesophageal Ulceration, Perforation,  Stricture, And Deep Neck Infection Can Develop Without Timely Diagnosis And  Management. The Purpose Of This Article Is To Familiarize Radiologists With The  Imaging Approach To Assess For Characteristics And Impacted Locations Of Ingested  Foreign Bodies In The Neck.",,False,,,,,,,,False,
466,2024,"Prokop, J.","Prokop, Jacek; Prokop, Mateusz",Sage Open Medical Case Reports,,PubMed,10.1177/2050313x241229859,,Repeated Foreign Body Ingestion As A Dynamic Game: A Case Report,"In This Case Report, We Correct The Analysis Of Mitigating Intentional Foreign Body Ingestion Offered By Sarah J. Diamond And Amnon Sonnenberg. Patients Who  Notoriously Swallow Foreign Objects Generate Significant Economic Costs To  Hospitals. In Previous Publications, It Has Been Argued That Hospitals Might  Reduce The Need For Endoscopy By Offering Such Patients A Paid Position To  Discourage Foreign Body Ingestions. However, The Game-Theoretical Analysis  Offered In The Literature Was Based On A Static Game Which Did Not Justify The  Relevant Equilibrium. To Obtain The Actual Goal Of Keeping The Patient Away From  Foreign Body Ingestion, We Consider A Repeated Game With An Infinite Horizon. We  Show That There Exists A Combination Of Strategies Applied By The Hospital And  The Patient That Leads To A Steady State In Which The Patient Will Be Discouraged  From Foreign Body Ingestion.",,False,,,,,,,,False,
467,2024,"Rizvi, A.","Rizvi, Anza; Rizvi, Fatima; Chorath, Kevin; Suresh, Neeraj V.; De Ravin, Emma; Romeo, Dominic; Lakshmipathy, Deepak; Barrette, Louis-Xavier; Rajasekaran, Karthik",Pediatric Surgery International,,PubMed,10.1007/s00383-024-05637-9,,Clinical Practice Guidelines In The Management Of Pediatric Foreign Body Aspiration And Ingestion: A Systematic Evaluation Using The Agree Ii Instrument,"Purpose: Several Clinical Practice Guidelines (Cpgs) Have Been Produced To Optimize The Diagnosis And Management Of Pediatric Foreign Body Aspiration And  Ingestion. However, To Date There Have Been No Critical Evaluations Of Their  Methodological Rigor Or Quality. Herein, We Address This Need Via The Appraisal  Of Guidelines For Research And Evaluation (Agree Ii) Instrument. Methods: A  Literature Search Of Embase, Medline Via Pubmed, And Scopus Was Performed Up  Until February 25, 2021. Identified Cpgs Were Then Assessed By Four Independent  Reviewers Trained In Agree Ii. A Scaled Domain Score Of >60% Was Indicated As  Satisfactory Quality. Intraclass Correlation Coefficients (Icc) Were Calculated  To Assess Inter-Reviewer Agreement. Results: 11 Guidelines Were Assessed With  Only One Being Classified As High Quality And Others Being Either Average (Two)  Or Low Quality (Eight). Domain 4 (Clarity Of Presentation) Achieved The Highest  Mean Score (66.41 ± 13.33%), While Domain 5 (Applicability) Achieved The Lowest  Score (10.80 ± 10.37%). Icc Analysis Revealed Generally Strong Agreement Between  Reviewers With A Range Of 0.60-0.98. Conclusion: Quality Appraisal Using The  Agree Ii Instrument Suggests That The Methodologic Rigor And Quality Of Current  Guidelines For The Diagnosis And Management Of Pediatric Foreign Body Aspiration  And Ingestion Need Significant Improvement.",,False,,,,,,,,False,
470,2024,"Stratton, H.","Stratton H.S., Davis R., Lewbart G.A.",Veterinary Record Case Reports,,Embase,10.1002/vrc2.918,,Gastrotomy For Removal Of A Gastric Fishhook Foreign Body In A Blue Catfish Ictalurus Furcatus,"An Adult Blue Catfish (Ictalurus Furcatus) Presented For Ingestion Of A Fishing Lure. Manual Retrieval Of The Fishing Lure Was Attempted Via Palpation Of The Stomach Through The Oral Cavity And Oesophagus. The Lure Was Palpable Within The Lumen Of The Stomach, But It Could Not Be Safely Extracted, As One Of The Treble-Barb Hooks On The Lure Had Perforated The Gastric Wall. The Lure Was Surgically Removed Via Gastrotomy. Six Weeks Following Surgery, The Patient Experienced Dehiscence Of The Skin Incision, Which Was Left Open For Healing By Second Intention. The Patient Made A Complete Recovery. This Is The First Documented Gastrotomy For Successful Removal Of A Gastric Fishhook Foreign Body In A Teleost Fish.",,False,4.0,,,,,,,False,
471,2024,"Sultan, N.","Sultan, Noran; Attar, Hanin; Sembawa, Hatem; Alharthi, Hind",International Journal Of Surgery Case Reports,,PubMed,10.1016/j.ijscr.2024.109506,,A Plastic Bezoar Causing Bowel Obstruction: A Case Of Table Cover Ingestion,"Introduction And Importance: A Bezoar Is An Indigestible Food Or Other Material Within The Gastrointestinal Tract. It Can Be Ingested Intentionally Or  Accidentally. The Small Bowel Bezoar Prevalence Ranges Between 0.4 % And 4 %, And  The Prevalence Is Less Than 0.5 % For Gastric Bezoars. There Are Different Types  Of Bezoars, But The Mention Of A Plastic Bezoar Rarely Appears In The Literature.  To Our Knowledge, This Is The First Reported Case Of A Plastic Bezoar In The  Kingdom Of Saudi Arabia. Case Presentation: A 58-Year-Old Woman Was Admitted For  Acute Kidney Injury, And While Working Her Up, It Was Discovered That She Had A  Possible Foreign Body On Computerized Tomography Scan. As A Result, She Underwent  Exploratory Laparotomy With The Findings Of Plastic Foreign Objects Identified  90 Cm From The Ileocecal Valve And Other Objects Identified In The Stomach.  Clinical Discussion: The Impaction Of These Materials Often Occurs In Narrow  Areas Such As The Lower Esophagus, Duodenum, Ileocecal Valve Or Even The Anus. In  This Unique Case, Two Points Of Impaction Were Noted: The First Was In The Small  Bowel And The Second Point In The Stomach. The Approach To Such Cases Could Be  Endoscopic Versus Surgical Or Even Chemical Dissolution As A Choice Of Treatment  Is Dependent On Multiple Factors. Conclusion: The Approach To These Cases Is  Multidisciplinary And Depends On The Availability Of Services And Resources At  The Treating Hospital. Reporting Such Cases Helps In Managing Challenging  Situations. Additionally, A Psychiatric Assessment Is A Crucial Step.",,False,,,,,,,,False,
